0.7881,0.886,0.773,7.4961,0.886,0.677,0.5524,0.886,0.000,-0.2162,0.773,0.649,-0.2158,0.773,0.799,4.2575,0.773,0.589,25.9112,0.773,0.756,0.5974,0.649,0.000,0.0000,0.000,0.000,4.8552,0.799,0.832,2.4838,0.832,0.514,-0.0214,0.589,0.465,-4.3017,0.465,0.747,-9.3569,0.756,0.613,-2.1445,0.613,0.802,8.0093,0.677,0.907,0.0000,0.000,0.000,1
0.6760,0.848,0.768,7.3044,0.848,0.693,0.5659,0.848,0.000,-0.1901,0.768,0.656,-0.0074,0.768,0.809,3.9626,0.768,0.590,25.9746,0.768,0.761,0.5994,0.656,0.000,0.0000,0.000,0.000,4.7346,0.809,0.831,2.0201,0.831,0.446,-0.4419,0.590,0.471,-4.1323,0.471,0.749,-9.3981,0.761,0.620,-2.2210,0.620,0.815,7.8043,0.693,0.867,0.0000,0.000,0.000,1
0.6749,0.839,0.753,7.1503,0.839,0.705,0.5719,0.839,0.000,-0.2158,0.753,0.650,-0.0095,0.753,0.792,3.8060,0.753,0.580,26.0188,0.753,0.765,0.6030,0.650,0.000,0.0000,0.000,0.000,4.7426,0.792,0.797,2.1288,0.797,0.446,-0.3564,0.580,0.456,-4.1905,0.456,0.730,-9.3912,0.765,0.613,-2.1775,0.613,0.791,7.6019,0.705,0.868,0.0000,0.000,0.000,1
0.6080,0.842,0.738,7.4441,0.842,0.688,0.5840,0.842,0.000,0.2121,0.738,0.622,-0.2416,0.738,0.774,3.8072,0.738,0.589,30.2528,0.738,0.732,0.5959,0.622,0.000,0.0000,0.000,0.000,4.9686,0.774,0.813,2.3311,0.813,0.592,-0.3525,0.589,0.454,-4.1034,0.454,0.759,-8.6965,0.732,0.629,-2.0608,0.629,0.789,7.9687,0.688,0.872,0.0000,0.000,0.000,1
0.6390,0.862,0.736,7.4126,0.862,0.712,0.5920,0.862,0.000,-0.0015,0.736,0.624,-0.0038,0.736,0.767,3.9740,0.736,0.585,25.5470,0.736,0.718,0.6140,0.624,0.000,0.0000,0.000,0.000,4.4574,0.767,0.732,1.9000,0.732,0.384,-0.0166,0.585,0.453,-4.2663,0.453,0.772,-9.7349,0.718,0.632,-2.0571,0.632,0.784,8.0886,0.712,0.898,0.0000,0.000,0.000,1
0.7033,0.879,0.757,7.3824,0.879,0.720,0.5978,0.879,0.000,-0.2132,0.757,0.634,-0.2223,0.757,0.765,3.6086,0.757,0.557,23.7411,0.757,0.716,0.6301,0.634,0.000,0.0000,0.000,0.000,4.4506,0.765,0.762,1.8969,0.762,0.372,-1.3212,0.557,0.397,-3.7505,0.397,0.770,-9.3462,0.716,0.593,-1.9806,0.593,0.777,8.0897,0.720,0.914,0.0000,0.000,0.000,1
0.7285,0.893,0.767,7.5129,0.893,0.706,0.5981,0.893,0.000,0.0029,0.767,0.627,0.0006,0.767,0.786,3.6552,0.767,0.559,25.2954,0.767,0.699,0.6302,0.627,0.000,0.0000,0.000,0.000,5.0634,0.786,0.826,2.1085,0.826,0.428,-0.8855,0.559,0.408,-3.3723,0.408,0.738,-9.1764,0.699,0.602,-1.8776,0.602,0.791,8.0562,0.706,0.915,0.0000,0.000,0.000,1
0.7293,0.882,0.776,7.2496,0.882,0.700,0.6061,0.882,0.000,-0.0078,0.776,0.638,-0.2412,0.776,0.805,3.5574,0.776,0.561,23.4624,0.776,0.709,0.6378,0.638,0.000,0.0000,0.000,0.000,4.4460,0.805,0.821,2.1286,0.821,0.354,-0.8871,0.561,0.395,-3.2011,0.395,0.708,-9.1870,0.709,0.595,-1.9103,0.595,0.787,7.9368,0.700,0.892,0.0000,0.000,0.000,1
0.7036,0.863,0.771,7.2099,0.863,0.636,0.6121,0.863,0.000,-0.2200,0.771,0.643,-0.0126,0.771,0.813,3.8623,0.771,0.570,22.0192,0.771,0.695,0.6434,0.643,0.000,0.0000,0.000,0.000,4.4394,0.813,0.800,1.8892,0.800,0.446,-0.8777,0.570,0.471,-3.9886,0.471,0.770,-9.1916,0.695,0.606,-1.8770,0.606,0.791,7.8974,0.636,0.855,0.0000,0.000,0.000,1
0.6835,0.839,0.762,7.2793,0.839,0.673,0.6182,0.839,0.000,-0.0056,0.762,0.648,-0.2090,0.762,0.788,3.8049,0.762,0.568,23.1757,0.762,0.674,0.6433,0.648,0.000,0.0000,0.000,0.000,4.8479,0.788,0.706,2.2817,0.706,0.316,-0.0110,0.568,0.470,-3.9942,0.470,0.679,-8.6108,0.674,0.599,-1.7465,0.599,0.789,7.8335,0.673,0.830,0.0000,0.000,0.000,1
