-1.4144,0.921,0.766,-7.7061,0.921,0.417,1.7815,0.921,0.847,0.8992,0.766,0.725,3.5083,0.766,0.622,-3.8430,0.766,0.552,-24.2430,0.766,0.692,-6.1428,0.725,0.806,2.9509,0.806,0.616,-1.4738,0.622,0.418,-50.2619,0.418,0.299,-1.1858,0.552,0.628,3.0433,0.628,0.713,16.9741,0.692,0.402,4.7010,0.402,0.613,1.5799,0.417,0.000,-0.5191,0.847,0.925,1
-1.2770,0.854,0.798,-7.4391,0.854,0.319,1.7791,0.854,0.876,1.2934,0.798,0.709,5.1202,0.798,0.629,-3.8362,0.798,0.554,-25.5826,0.798,0.687,-5.6746,0.709,0.821,2.9470,0.821,0.619,-1.4259,0.629,0.636,-16.9612,0.636,0.484,-3.5172,0.554,0.656,2.7797,0.656,0.732,15.8028,0.687,0.413,4.6148,0.413,0.634,1.5843,0.319,0.000,-0.3591,0.876,0.831,1
-1.4048,0.865,0.773,-8.1575,0.865,0.540,2.1379,0.865,0.968,1.1912,0.773,0.745,1.7779,0.773,0.664,-4.8195,0.773,0.562,-26.7698,0.773,0.651,-7.1261,0.745,0.840,1.5460,0.840,0.780,-1.5854,0.664,0.543,-55.6293,0.543,0.466,-5.3252,0.562,0.646,4.9193,0.646,0.740,28.3926,0.651,0.393,8.1068,0.393,0.618,1.5792,0.540,0.000,-0.5257,0.968,0.909,1
-1.2469,0.903,0.802,-5.7049,0.903,0.697,2.0613,0.903,0.876,2.2441,0.802,0.727,2.1911,0.802,0.690,-2.8852,0.802,0.566,-24.2719,0.802,0.777,-9.2517,0.727,0.831,-0.2994,0.831,0.874,-1.2521,0.690,0.746,-4.9133,0.746,0.726,-2.3565,0.566,0.661,1.4986,0.661,0.823,9.6682,0.777,0.431,1.4076,0.431,0.758,1.6165,0.697,0.000,-0.8249,0.876,0.889,1
-1.7731,0.955,0.753,-6.2991,0.955,0.733,1.7771,0.955,0.939,-1.1921,0.753,0.724,-1.7718,0.753,0.609,-2.1829,0.753,0.554,-22.4316,0.753,0.779,2.4051,0.724,0.848,-1.3315,0.848,0.808,2.3139,0.609,0.727,-0.9921,0.727,0.881,-5.2087,0.554,0.651,0.6957,0.651,0.781,6.1899,0.779,0.356,0.5704,0.356,0.846,-6.1766,0.733,0.906,-0.1107,0.939,0.919,1
-1.6427,0.955,0.761,-5.9200,0.955,0.765,1.5732,0.955,0.908,-5.3442,0.761,0.739,-3.6089,0.761,0.616,-2.1396,0.761,0.553,-22.9653,0.761,0.769,2.5886,0.739,0.854,-1.5626,0.854,0.828,2.6002,0.616,0.711,-1.0764,0.711,0.845,-10.4605,0.553,0.646,0.4702,0.646,0.835,4.8004,0.769,0.341,0.3157,0.341,0.893,-5.8143,0.765,0.848,-0.3320,0.908,0.865,1
-1.3711,0.862,0.776,-7.8454,0.862,0.485,0.7871,0.862,0.915,1.7661,0.776,0.714,0.9084,0.776,0.624,-4.5212,0.776,0.557,-24.9018,0.776,0.653,-5.9298,0.714,0.885,2.2193,0.885,0.720,-1.4507,0.624,0.398,-25.3662,0.398,0.312,-2.7069,0.557,0.634,3.9850,0.634,0.725,18.6254,0.653,0.385,6.0124,0.385,0.631,1.5699,0.485,0.000,-0.2297,0.915,0.912,1
-1.2480,0.904,0.801,-5.7036,0.904,0.712,2.0602,0.904,0.891,1.8042,0.801,0.729,1.7834,0.801,0.709,-2.8204,0.801,0.574,-24.2905,0.801,0.775,-7.7292,0.729,0.838,-0.3121,0.838,0.864,-1.1632,0.709,0.742,-4.4473,0.742,0.754,-2.7228,0.574,0.670,1.5276,0.670,0.823,9.2842,0.775,0.410,1.3773,0.410,0.766,1.6167,0.712,0.000,-0.7729,0.891,0.888,1
-1.3698,0.821,0.746,-6.2818,0.821,0.706,3.5216,0.821,0.948,8.5368,0.746,0.769,2.1482,0.746,0.562,-3.2590,0.746,0.588,-24.6523,0.746,0.778,-5.6597,0.769,0.913,1.5840,0.913,0.877,0.6266,0.562,0.000,0.0000,0.000,0.000,-1.1771,0.588,0.660,1.5262,0.660,0.854,12.6330,0.778,0.480,1.6062,0.480,0.775,1.6217,0.706,0.000,-0.4431,0.948,0.867,1
-1.4152,0.891,0.731,-5.6474,0.891,0.693,2.1416,0.891,0.876,1.0819,0.731,0.756,5.2033,0.731,0.673,-2.9355,0.731,0.568,-21.1544,0.731,0.769,-6.3786,0.756,0.837,1.2374,0.837,0.738,-1.6449,0.673,0.078,0.8261,0.078,0.000,-1.0747,0.568,0.639,1.5570,0.639,0.794,11.9792,0.769,0.445,1.4953,0.445,0.777,1.6164,0.693,0.000,-0.7756,0.876,0.885,1
-1.3478,0.916,0.680,-5.9277,0.916,0.615,4.1101,0.916,0.884,2.2149,0.680,0.745,2.3568,0.680,0.626,-3.0678,0.680,0.600,-19.8663,0.680,0.753,-4.0710,0.745,0.807,2.6676,0.807,0.596,-1.1044,0.626,0.298,-4.4452,0.298,0.189,-0.5983,0.600,0.627,1.7780,0.627,0.836,12.2387,0.753,0.452,1.5314,0.452,0.756,1.6119,0.615,0.000,-0.7235,0.884,0.882,1
-1.6431,0.950,0.748,-5.7022,0.950,0.761,1.5774,0.950,0.929,-3.5186,0.748,0.744,-3.6886,0.748,0.578,-2.1016,0.748,0.556,-21.8946,0.748,0.778,2.4398,0.744,0.870,-1.4927,0.870,0.822,2.8017,0.578,0.686,-1.1624,0.686,0.780,-8.9452,0.556,0.639,0.3899,0.639,0.841,4.1522,0.778,0.349,0.0794,0.349,0.827,-5.6110,0.761,0.900,-0.1129,0.929,0.900,1
-1.1882,0.911,0.770,-6.1573,0.911,0.594,4.1068,0.911,0.895,1.5419,0.770,0.755,1.7650,0.770,0.689,-3.3840,0.770,0.594,-23.1295,0.770,0.773,-4.5962,0.755,0.822,2.6739,0.822,0.662,-1.1689,0.689,0.589,-7.6052,0.589,0.450,-1.7500,0.594,0.604,2.3203,0.604,0.776,15.0904,0.773,0.479,2.1357,0.479,0.590,1.6115,0.594,0.000,-0.5601,0.895,0.841,1
-1.4880,0.919,0.728,-5.8105,0.919,0.651,2.3627,0.919,0.843,1.7902,0.728,0.707,4.0922,0.728,0.621,-2.8463,0.728,0.576,-19.5008,0.728,0.775,-4.6287,0.707,0.721,1.3785,0.721,0.255,-1.1262,0.621,0.445,-4.9898,0.445,0.349,-0.7182,0.576,0.598,1.7473,0.598,0.840,11.1442,0.775,0.426,1.5023,0.426,0.742,1.6162,0.651,0.000,-0.4497,0.843,0.882,1
-1.7089,0.957,0.769,-5.9215,0.957,0.750,1.7775,0.957,0.919,-5.4958,0.769,0.734,-61.6544,0.769,0.604,-2.0767,0.769,0.553,-21.4054,0.769,0.761,2.5595,0.734,0.838,-1.5085,0.838,0.845,2.2978,0.604,0.748,-1.1637,0.748,0.822,-2.9609,0.553,0.616,0.5431,0.616,0.826,5.4350,0.761,0.361,0.3995,0.361,0.886,-5.8485,0.750,0.883,-0.2208,0.919,0.869,1
-1.7096,0.904,0.740,-5.7379,0.904,0.751,1.3597,0.904,0.918,-89.1228,0.740,0.759,-1802.4333,0.740,0.609,-2.1012,0.740,0.559,-20.6199,0.740,0.780,2.5108,0.759,0.898,-1.4432,0.898,0.826,2.3552,0.609,0.691,-1.1642,0.691,0.858,-3.6816,0.559,0.634,0.4383,0.634,0.832,4.5746,0.780,0.361,0.1934,0.361,0.850,-5.6094,0.751,0.905,-0.0078,0.918,0.917,1
-1.4052,0.889,0.665,-9.6686,0.889,0.724,2.4733,0.889,0.890,0.8874,0.665,0.749,2.3579,0.665,0.604,-12.5783,0.665,0.562,-33.7601,0.665,0.604,-8827.2059,0.749,0.901,0.9314,0.901,0.821,-2.7559,0.604,0.300,-26.8529,0.300,0.272,-0.8945,0.562,0.632,15.9831,0.632,0.700,-92.6871,0.604,0.407,21.8719,0.407,0.619,1.5698,0.724,0.000,-0.4156,0.890,0.869,1
-1.4049,0.900,0.752,-6.2551,0.900,0.550,1.7760,0.900,0.841,1.0711,0.752,0.737,2.6647,0.752,0.636,-3.4245,0.752,0.584,-22.1382,0.752,0.755,-5.3295,0.737,0.785,3.0378,0.785,0.627,-1.4612,0.636,0.275,-5.9970,0.275,0.130,-0.6199,0.584,0.650,2.5448,0.650,0.771,15.3735,0.755,0.459,3.6191,0.459,0.536,1.6215,0.550,0.000,-0.3209,0.841,0.863,1
-1.2479,0.891,0.820,-5.7038,0.891,0.719,2.0547,0.891,0.900,2.6834,0.820,0.717,1.7716,0.820,0.695,-2.8844,0.820,0.568,-24.3270,0.820,0.776,-8.5593,0.717,0.832,-0.4703,0.832,0.690,-1.2308,0.695,0.815,-4.9297,0.815,0.718,-2.6985,0.568,0.678,1.5541,0.678,0.819,9.2927,0.776,0.416,1.3425,0.416,0.764,1.6166,0.719,0.000,-0.7715,0.900,0.900,1
